model,label,family,dataset,evaluation,samples,reused,d1,d2,d3,abs_rel,sq_rel,rmse,rmse_log,log10,silog
zipdepth,ZipDepth Base,zipdepth,DIODE,affine,771,False,0.7308458577646898,0.8642899860168521,0.9239413795116331,0.22388586796682572,2.4746174387596147,4.563175362198791,0.2941799611278364,0.09171657707984597,28.157062624993664
depthart_mnv4s,DepthART MobileNetV4-S,depthart_mobilenet,NYUD,affine,654,False,0.9335161063273167,0.9877359539807027,0.9966216170327815,0.08228177688219795,0.04593793355019732,0.34430984455542657,0.11289066041897199,0.03572756882865303,11.247287628010906
depthart_mnv4s,DepthART MobileNetV4-S,depthart_mobilenet,KITTI,affine,652,False,0.9097020139251513,0.9827541038525833,0.995910822506003,0.09118032533448651,0.5182567874834096,3.9664072045486236,0.13461785955003894,0.039347927605670074,13.383273624692338
depthart_mnv4s,DepthART MobileNetV4-S,depthart_mobilenet,ETH3D,affine,454,False,0.9059275701129207,0.9758376033411266,0.9899275401011317,0.11245061939808507,1.0015745845326443,1.6546310828033208,0.14175616487892395,0.044582429818162066,14.06903575334235
depthart_mnv4s,DepthART MobileNetV4-S,depthart_mobilenet,DDAD,affine,3950,False,0.8597824660763647,0.9614005375611244,0.986005374494267,0.12293630069117138,1.2551572686522314,6.74372337760842,0.18428098384062497,0.05285053170084134,18.311950388637054
depthart_mnv4s,DepthART MobileNetV4-S,depthart_mobilenet,DIODE,affine,771,False,0.713517551942719,0.8596404875096301,0.9215598704035057,0.22643923953309716,2.0273010101464064,4.424641817417324,0.3018904137998975,0.09517016540876456,28.88407894971382
depthart_mnv4m,DepthART MobileNetV4-M,depthart_mobilenet,NYUD,affine,654,True,0.9531551301214836,0.989843226836246,0.9967267802567807,0.06710619027142495,0.03557720358909994,0.29643183054590455,0.09710550372594177,0.02928664965913929,9.67994375390449
depthart_mnv4m,DepthART MobileNetV4-M,depthart_mobilenet,KITTI,affine,652,True,0.9311848040218639,0.9866804850628265,0.9966760026294512,0.07973323479020526,0.4534962511238604,3.651251579446296,0.11995550205051167,0.03429268676061985,11.938392277881357
depthart_mnv4m,DepthART MobileNetV4-M,depthart_mobilenet,ETH3D,affine,454,True,0.9295361265751043,0.9810382170606835,0.9911989647280017,0.09491994052546898,0.6062903709331969,1.436936290879296,0.12461727225357086,0.03868243466633972,12.364773941665485
depthart_mnv4m,DepthART MobileNetV4-M,depthart_mobilenet,DDAD,affine,3950,True,0.8871043600064075,0.9664557477158583,0.986725054384071,0.10569484808965579,1.1347902557569791,6.41844176975987,0.1716938663226893,0.04555445427416903,17.07687391758658
depthart_mnv4m,DepthART MobileNetV4-M,depthart_mobilenet,DIODE,affine,771,True,0.7316502701804357,0.86463853093945,0.9245953020140194,0.21697417893066484,2.023232953695187,4.392324372662181,0.2901204504101657,0.090376618355706,27.737980246347373
depthart_tinyvim_s,DepthART TinyViM-S,depthart_tinyvim,NYUD,affine,654,True,0.964,,,0.059,,,,,
depthart_tinyvim_s,DepthART TinyViM-S,depthart_tinyvim,KITTI,affine,652,True,0.93,,,0.082,,,,,
