family,encoder,resolution,mode,tf32_allowed,model_mean_ms,model_p50_ms,model_p95_ms,model_fps,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_fps,peak_mib,samples,warmup,trt_validation_passed,finite,shape_match,relative_mae,affine_aligned_relative_mae,parameters_unchanged,parameter_sha256,checkpoint,engine,plugin,backend,gpu,driver,torch,torch_cuda_build,cudnn,tensorrt
metric,S,448,trt_fp16,False,2.557804804086685,2.5589599609375,2.587716841697693,390.96024778836465,5.425381241999999,5.388869,5.71384805,184.31884422399824,19.61083984375,1000,200,True,True,True,0.019030798226594925,,True,81e0ff168d03b5240074a97913fe0da690ebf6cf4f9367bd4899707cb7a1ce25,checkpoints/metric/depthart_metric_indoor_s_448.pth,a6000_generated_artifacts_not_included/metric_s_448_fp16.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
metric,S,448,trt_fp32,True,6.3636064295768735,6.357487916946411,6.398051118850708,157.1435963343339,9.300607195,9.270758,9.5860443,107.51986177177758,19.61083984375,1000,200,True,True,True,0.003129703225567937,,True,81e0ff168d03b5240074a97913fe0da690ebf6cf4f9367bd4899707cb7a1ce25,checkpoints/metric/depthart_metric_indoor_s_448.pth,a6000_generated_artifacts_not_included/metric_s_448_tf32.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,B,224,amp,False,2.4961752018928527,2.4954240322113037,2.5023695707321165,400.6129053928982,3.376513473,3.363804,3.5211911,296.16348579575174,71.1298828125,1000,200,,True,True,0.0011791522847488523,0.0007746844203211367,True,ae3ee59611f44401ffbed056abb11b8be5fd218d4588bee267393cf0061ceba9,checkpoints/relative/depthart_relative_b_224.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,B,224,fp32,True,1.8170444804430008,1.8157440423965454,1.8270080089569092,550.3442600129398,2.685237685,2.6830654999999997,2.7254811,372.40651193974287,71.2255859375,1000,200,,True,True,0.0,2.1916902426255547e-07,True,ae3ee59611f44401ffbed056abb11b8be5fd218d4588bee267393cf0061ceba9,checkpoints/relative/depthart_relative_b_224.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,B,224,trt_fp16,False,1.0024134071469306,1.0014560222625732,1.0090928375720978,997.5924033639976,1.852567755,1.8519515000000002,1.8870383000000002,539.7913233138402,10.9970703125,1000,200,True,True,True,0.006352633703500032,0.0025375764816999435,True,ae3ee59611f44401ffbed056abb11b8be5fd218d4588bee267393cf0061ceba9,checkpoints/relative/depthart_relative_b_224.pth,a6000_generated_artifacts_not_included/relative_b_224_fp16.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,B,224,trt_fp32,True,1.4322812149524689,1.4318079948425293,1.4377599954605103,698.1869129891406,2.2802019540000003,2.2800795000000003,2.31869665,438.5576454075786,10.9970703125,1000,200,True,True,True,0.0005131247453391552,0.0001978048967430368,True,ae3ee59611f44401ffbed056abb11b8be5fd218d4588bee267393cf0061ceba9,checkpoints/relative/depthart_relative_b_224.pth,a6000_generated_artifacts_not_included/relative_b_224_tf32.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,B,448,amp,False,3.405712196111679,3.405503988265991,3.4105630993843077,293.62434122933394,6.308313664,6.259308000000001,6.556293449999999,158.52096982855417,79.4560546875,1000,200,,True,True,0.00035636458778753877,0.00018719742365647107,True,b67b34aad116232a61b2c34e27eb8b24c1971ff185048a0ba171d0627e1b549a,checkpoints/relative/depthart_relative_b_448.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,B,448,fp32,True,3.356482147693634,3.355520009994507,3.3633295774459837,297.9309753478468,6.310136036,6.2534625,6.76902135,158.47518885407433,79.8388671875,1000,200,,True,True,0.0,2.4069430537565495e-07,True,b67b34aad116232a61b2c34e27eb8b24c1971ff185048a0ba171d0627e1b549a,checkpoints/relative/depthart_relative_b_448.pth,,,PyTorch CUDA Graph + custom SelectiveScan,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,B,448,trt_fp16,False,1.4853650888204575,1.4852960109710693,1.4892496347427369,673.2351578251441,4.342180662999999,4.3341835,4.39911135,230.2990312036218,19.6103515625,1000,200,True,True,True,0.0006263554678298533,0.0005564144812524319,True,b67b34aad116232a61b2c34e27eb8b24c1971ff185048a0ba171d0627e1b549a,checkpoints/relative/depthart_relative_b_448.pth,a6000_generated_artifacts_not_included/relative_b_448_fp16.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
relative,B,448,trt_fp32,True,2.4285993611812593,2.4274239540100098,2.4369935393333435,411.75996995799454,5.558657843,5.4820364999999995,5.9265118999999995,179.89954198373567,19.6103515625,1000,200,True,True,True,0.00010165332059841603,6.394491356331855e-05,True,b67b34aad116232a61b2c34e27eb8b24c1971ff185048a0ba171d0627e1b549a,checkpoints/relative/depthart_relative_b_448.pth,a6000_generated_artifacts_not_included/relative_b_448_tf32.engine,a6000_generated_artifacts_not_included/libdepthart_selective_scan_trt_sm86.so,TensorRT CUDA Graph + SelectiveScan plugin,NVIDIA RTX A6000,560.35.03,2.1.0+cu118,11.8,8907,10.7.0
